id;name;active;vehicle_ids
1;GASKETS HEAD 95" 99-06 TC;0;79,934,1310
2;SHOE CR6 DS BK/GY/GM 10.5;0;532
3;ENGINE KIT KAW WR101-138;0;268,417,2285,624
4;STEER DAMPER 75MM CSC POL;0;2140,72
5;RAD CVR YZF250 11-13 OE;1;2127,317,653
6;HELMET FX41DS-S BLACK LG;1;2317,928,10
7;LEVER LH-DUCATI;1;321,379,2503,42,1365,620
8;CYLDR HEAD GSKT YZF450 18;1;2192
9;PC-V YAM YZ450F;0;525,1056,159,1488,1051
10;MUD LITE XL 25X12-12 81F 6PLY;1;2363,1416,371,250
11;G722G WW 180/70-15 76H TT;1;935,1467,980,2173
12;DECAL FMF 4.1 RED;0;1087,29,916,1635
13;PANT S20 PLS PINNER YL 30;0;705,2151
14;REGULATOR/RECT HONDA;1;754,426,665,1030,754
15;PC-V VARADERO 03-09;1;596,1868
16;LEVER ADJUSTER KIT BL;0;1178,2462,498,920
17;RCM STEEL EXH YTM225;1;1327,1265,1755,2363
18;#55  22  SERIES PILT-5PK;1;1749,1100
19;REAR SPROCKET 530 45T STE;0;2265,450,300,1676,2510
20;HARNESS WIRE IGN 00+ FLTR;0;1449,707,1691,2341,2471
21;CONNECTING ROD;1;2209,720,1730
22;BAR PAD MINI 3D BK/PK;0;1264,111,1403
23;AIR FILTER 1-1/4-1 1/2X3;0;673,494
24;HEADLIGHT LMX BK;0;2116,2092,1569,914,1656
25;LENS TIP SMK F 84-13FLT;1;51,1844,1956
26;GRIPS MX WAFFLE X.9 YEL;1;352
27;CABLE THROT 56884-07SC;0;933,2129,1177
28;VEST CE SURGE LM/BK XS;1;2434,688
29;BOOT VARIAL BLACK 14;1;443,1924,1068,1058
30;BRAKE PAD SINTERED DP980;1;2234
31;WASHER FF NXT TO OIL SEAL;1;1468,1703
32;CLUTCH PLATE STEEL HUSQ;1;1940,418,30
33;MIRROR PU SUPERSPORT LH;1;1418,1249
34;888 180/55B18 80H RF TL ;1;323
35;MUFFLER MEGA BOLT BLK;1;45,1530,384,2227,663
36;BRAKE ROTOR EBC MD938D;1;452,611,1104
37;PISTN KT TRKR EVO FLT.030;0;2013,101,1282,1173,264
